UsageID,CompanyID,EmployeeID,ModuleName,TaskDescription,StartTime,EndTime,TaskDuration,CompletionStatus,ErrorDetails,LastUsedDate
1,1,9,Payroll,Edit payroll,2024-05-14 05:36:23.638602,2024-05-14 06:29:23.638602,53.0,Not completed,Connection timeout,2024-05-08 23:21:00.923590
2,1,41,Leave Management,Submit for approval,2024-04-18 10:43:02.478077,2024-04-18 11:21:02.478077,38.0,Not completed,Database error,2024-04-08 14:40:31.575588
3,1,17,Leave Management,Create new leave,2024-04-23 23:09:30.429753,2024-04-23 23:57:30.429753,48.0,Not completed,Unable to process user input,2024-04-17 11:53:03.068503
4,1,11,Payroll,Create payroll notifications,2024-05-10 13:05:12.851954,2024-05-10 13:55:12.851954,50.0,Not completed,Invalid data format,2024-04-11 07:30:02.396401
5,1,26,Performance Review,Delete review,2024-04-21 20:31:24.110870,2024-04-21 21:31:24.110870,60.0,Not completed,Unable to process user input,2024-04-28 08:26:48.027430
6,1,17,Payroll,Edit payroll,2024-05-18 02:36:20.397609,2024-05-18 03:10:20.397609,34.0,Completed,,2024-04-23 13:32:20.813805
7,1,8,Payroll,Submit payroll,2024-04-10 00:08:38.048763,2024-04-10 00:18:38.048763,10.0,Completed,,2024-05-08 20:12:38.240272
8,1,37,Leave Management,Create new leave,2024-04-30 11:31:59.627068,2024-04-30 11:59:59.627068,28.0,Completed,,2024-04-08 02:23:41.621854
9,1,17,Performance Review,Submit for approval,2024-05-18 04:59:26.335212,2024-05-18 05:18:26.335212,19.0,Not completed,Invalid data format,2024-05-22 15:38:22.546488
10,1,2,Payroll,Create payroll notifications,2024-05-12 03:39:44.477526,2024-05-12 04:04:44.477526,25.0,Not completed,Connection timeout,2024-05-17 17:55:19.883098
11,1,20,Payroll,Create payroll notifications,2024-04-11 17:28:50.269342,2024-04-11 17:51:50.269342,23.0,Not completed,Unable to process user input,2024-05-07 06:17:12.051942
12,1,21,Leave Management,Delete leave submission,2024-05-17 13:03:47.772414,2024-05-17 13:22:47.772414,19.0,Completed,,2024-05-04 11:20:29.520892
13,1,12,Payroll,Submit payroll,2024-04-21 14:01:10.066623,2024-04-21 14:50:10.066623,49.0,Completed,,2024-03-29 23:39:19.553503
14,1,33,Leave Management,Appeal leave status,2024-04-19 06:34:33.250122,2024-04-19 06:42:33.250122,8.0,Completed,,2024-04-30 00:36:29.803317
15,1,22,Payroll,Edit payroll,2024-05-18 09:45:27.990185,2024-05-18 10:29:27.990185,44.0,Completed,,2024-05-21 16:00:55.834271
16,1,26,Payroll,Submit payroll,2024-04-21 21:07:34.143192,2024-04-21 21:39:34.143192,32.0,Not completed,Database error,2024-05-15 12:06:23.398886
17,1,16,Payroll,Edit payroll,2024-04-08 16:58:33.626991,2024-04-08 17:32:33.626991,34.0,Completed,,2024-05-11 20:05:05.954809
18,1,24,Payroll,Submit payroll,2024-04-26 05:48:15.591759,2024-04-26 06:43:15.591759,55.0,Not completed,Invalid data format,2024-03-24 17:07:07.264081
19,1,29,Payroll,Edit payroll,2024-05-06 15:29:58.381639,2024-05-06 16:13:58.381639,44.0,Not completed,Connection timeout,2024-04-17 02:57:42.260291
20,1,27,Performance Review,Delete review,2024-05-13 01:01:16.310598,2024-05-13 01:08:16.310598,7.0,Not completed,Database error,2024-05-03 12:13:34.081918
21,1,46,Leave Management,Appeal leave status,2024-03-23 22:17:03.316581,2024-03-23 22:34:03.316581,17.0,Not completed,Invalid data format,2024-04-22 21:19:05.566993
22,1,12,Payroll,Edit payroll,2024-05-15 15:27:15.927189,2024-05-15 15:40:15.927189,13.0,Completed,,2024-04-07 16:45:52.061584
23,1,3,Payroll,Create payroll notifications,2024-04-12 15:27:57.448313,2024-04-12 15:52:57.448313,25.0,Completed,,2024-05-15 19:38:34.187393
24,1,39,Payroll,Create payroll notifications,2024-04-04 11:36:14.687581,2024-04-04 11:48:14.687581,12.0,Not completed,Permission denied,2024-04-27 09:16:19.338889
25,1,39,Leave Management,Appeal leave status,2024-04-07 09:01:58.763577,2024-04-07 09:43:58.763577,42.0,Not completed,Invalid data format,2024-05-21 17:22:44.858709
26,1,46,Leave Management,Delete leave submission,2024-05-11 17:23:09.921909,2024-05-11 18:11:09.921909,48.0,Completed,,2024-04-20 02:43:22.097939
27,1,39,Leave Management,Delete leave submission,2024-03-28 18:04:45.559104,2024-03-28 18:09:45.559104,5.0,Completed,,2024-04-12 07:56:47.353611
28,1,36,Performance Review,Delete review,2024-04-23 18:17:24.590898,2024-04-23 18:55:24.590898,38.0,Not completed,Unable to process user input,2024-05-19 14:42:07.892419
29,1,6,Performance Review,Start new review,2024-03-30 11:51:26.855533,2024-03-30 12:21:26.855533,30.0,Completed,,2024-04-26 09:33:14.175386
30,1,38,Payroll,Submit payroll,2024-05-05 20:18:29.749632,2024-05-05 21:10:29.749632,52.0,Not completed,Invalid data format,2024-04-26 03:58:00.755907
31,1,5,Payroll,Edit payroll,2024-05-12 09:52:02.966372,2024-05-12 10:41:02.966372,49.0,Not completed,Invalid data format,2024-04-25 17:30:57.841594
32,1,11,Performance Review,Start new review,2024-05-21 11:58:26.568641,2024-05-21 12:25:26.568641,27.0,Not completed,Permission denied,2024-04-29 13:21:47.095487
33,1,27,Performance Review,Delete review,2024-04-28 14:37:49.756735,2024-04-28 14:58:49.756735,21.0,Not completed,Unable to process user input,2024-04-19 22:22:14.635783
34,1,16,Performance Review,Start new review,2024-04-29 03:17:23.205713,2024-04-29 03:58:23.205713,41.0,Not completed,Database error,2024-04-16 06:37:58.126292
35,1,31,Performance Review,Delete review,2024-04-27 21:09:29.305435,2024-04-27 22:00:29.305435,51.0,Not completed,Database error,2024-04-10 12:32:35.094422
36,1,32,Payroll,Create payroll notifications,2024-04-04 09:09:25.912287,2024-04-04 09:29:25.912287,20.0,Completed,,2024-04-04 05:16:13.956719
37,1,44,Leave Management,Delete leave submission,2024-04-30 03:21:44.790741,2024-04-30 03:45:44.790741,24.0,Not completed,Unable to process user input,2024-05-02 19:26:35.984338
38,1,24,Payroll,Create payroll notifications,2024-04-21 20:25:37.375853,2024-04-21 21:14:37.375853,49.0,Completed,,2024-03-29 07:46:24.581276
39,1,39,Payroll,Create payroll notifications,2024-05-08 22:50:18.593715,2024-05-08 23:11:18.593715,21.0,Not completed,Database error,2024-05-16 04:50:26.088778
40,1,36,Payroll,Create payroll notifications,2024-05-19 00:53:58.487279,2024-05-19 01:29:58.487279,36.0,Completed,,2024-05-14 02:44:32.189913
41,1,11,Leave Management,Delete leave submission,2024-05-17 12:05:31.273575,2024-05-17 12:36:31.273575,31.0,Completed,,2024-05-19 00:27:48.999180
42,1,41,Payroll,Create payroll notifications,2024-04-25 17:58:40.591084,2024-04-25 18:52:40.591084,54.0,Completed,,2024-04-16 15:58:13.426558
43,1,35,Leave Management,Submit for approval,2024-05-05 18:26:31.792873,2024-05-05 18:36:31.792873,10.0,Completed,,2024-04-09 15:05:07.706870
44,1,43,Performance Review,Delete review,2024-05-12 05:43:23.990053,2024-05-12 06:36:23.990053,53.0,Completed,,2024-05-14 13:00:03.536936
45,1,42,Payroll,Submit payroll,2024-05-17 07:30:56.355240,2024-05-17 08:00:56.355240,30.0,Completed,,2024-04-28 17:49:10.746121
46,1,39,Payroll,Edit payroll,2024-05-20 15:25:27.238275,2024-05-20 15:39:27.238275,14.0,Completed,,2024-04-28 03:03:46.880805
47,1,23,Leave Management,Submit for approval,2024-04-20 06:30:35.212803,2024-04-20 07:20:35.212803,50.0,Completed,,2024-05-03 00:40:46.011377
48,1,12,Leave Management,Delete leave submission,2024-05-23 11:18:41.048158,2024-05-23 11:24:41.048158,6.0,Completed,,2024-05-18 15:29:47.199673
49,1,50,Performance Review,Edit existing review,2024-05-11 02:59:49.597437,2024-05-11 03:58:49.597437,59.0,Not completed,Connection timeout,2024-03-28 20:53:35.872803
50,1,18,Payroll,Create payroll notifications,2024-04-30 03:22:36.963162,2024-04-30 03:42:36.963162,20.0,Completed,,2024-04-22 10:54:06.917410
51,1,13,Leave Management,Create new leave,2024-05-01 04:43:53.386071,2024-05-01 05:24:53.386071,41.0,Not completed,Connection timeout,2024-05-14 06:33:50.502413
52,1,15,Leave Management,Delete leave submission,2024-04-07 15:29:11.218076,2024-04-07 15:39:11.218076,10.0,Completed,,2024-05-07 08:42:24.682268
53,1,44,Performance Review,Start new review,2024-03-30 23:39:01.314457,2024-03-30 23:57:01.314457,18.0,Not completed,Unable to process user input,2024-04-06 06:31:23.567047
54,1,48,Leave Management,Submit for approval,2024-05-11 04:50:01.779103,2024-05-11 05:07:01.779103,17.0,Completed,,2024-04-13 02:10:17.541121
55,1,41,Payroll,Create payroll notifications,2024-05-12 11:58:45.201324,2024-05-12 12:53:45.201324,55.0,Completed,,2024-03-29 23:31:07.076187
56,1,46,Payroll,Create payroll notifications,2024-04-01 18:19:20.520213,2024-04-01 18:49:20.520213,30.0,Not completed,Database error,2024-05-05 07:19:34.743134
57,1,29,Performance Review,Start new review,2024-03-26 14:39:52.315525,2024-03-26 15:02:52.315525,23.0,Not completed,Permission denied,2024-04-27 18:33:06.436201
58,1,34,Leave Management,Submit for approval,2024-05-18 05:23:04.342483,2024-05-18 06:04:04.342483,41.0,Not completed,Permission denied,2024-04-25 08:37:48.219208
59,1,24,Performance Review,Edit existing review,2024-05-04 06:23:04.500087,2024-05-04 07:21:04.500087,58.0,Completed,,2024-03-25 11:35:49.730098
60,1,35,Performance Review,Delete review,2024-05-01 11:49:01.286443,2024-05-01 12:29:01.286443,40.0,Not completed,Database error,2024-04-29 17:57:59.974645
61,1,18,Payroll,Submit payroll,2024-04-27 21:35:56.443752,2024-04-27 21:47:56.443752,12.0,Completed,,2024-04-16 15:50:37.992021
62,1,22,Performance Review,Start new review,2024-04-15 09:04:44.727007,2024-04-15 09:50:44.727007,46.0,Completed,,2024-05-22 12:19:36.293393
63,1,47,Performance Review,Edit existing review,2024-03-26 01:45:13.511500,2024-03-26 02:33:13.511500,48.0,Not completed,Database error,2024-03-25 04:12:29.958428
64,1,15,Leave Management,Delete leave submission,2024-05-21 07:52:29.962957,2024-05-21 08:41:29.962957,49.0,Not completed,Database error,2024-04-04 02:42:15.067823
65,1,29,Payroll,Create payroll notifications,2024-03-31 09:31:20.347830,2024-03-31 09:49:20.347830,18.0,Completed,,2024-04-05 16:05:27.428034
66,1,26,Performance Review,Delete review,2024-05-11 13:50:01.308938,2024-05-11 14:16:01.308938,26.0,Completed,,2024-05-19 20:44:25.592071
67,1,17,Payroll,Edit payroll,2024-03-25 05:52:54.340478,2024-03-25 06:14:54.340478,22.0,Not completed,Connection timeout,2024-04-18 18:05:13.737265
68,1,20,Leave Management,Submit for approval,2024-03-30 00:49:19.617157,2024-03-30 01:33:19.617157,44.0,Not completed,Unable to process user input,2024-04-08 16:08:24.654608
69,1,31,Leave Management,Appeal leave status,2024-04-06 07:03:41.847699,2024-04-06 07:17:41.847699,14.0,Not completed,Database error,2024-05-02 05:13:50.212669
70,1,46,Performance Review,Start new review,2024-04-14 04:06:02.861961,2024-04-14 04:38:02.861961,32.0,Not completed,Unable to process user input,2024-04-03 19:54:30.753551
71,1,50,Performance Review,Submit for approval,2024-04-23 12:00:19.566010,2024-04-23 12:54:19.566010,54.0,Not completed,Database error,2024-03-26 06:06:53.166572
72,1,38,Payroll,Submit payroll,2024-03-29 23:58:36.174324,2024-03-30 00:55:36.174324,57.0,Not completed,Invalid data format,2024-05-22 23:35:49.165131
