FeedbackID,CompanyID,EmployeeID,ModuleName,FeedbackType,FeedbackText,FeedbackDate,Rating
1,1,35,Leave Management,Suggestion for improvement,There is a glitch in the payroll calculation.,2024-03-28,5.0
2,1,13,Performance Review,Suggestion for improvement,I encountered an error while trying to edit payroll details.,2024-02-26,3.0
3,1,4,Performance Review,Bug,Suggestion: Provide more detailed error messages.,2023-10-29,3.0
4,1,50,Leave Management,Suggestion for improvement,The payroll module could use a better summary report feature.,2023-09-01,3.0
5,1,29,Payroll,Bug,Bug: Unable to appeal leave status change.,2023-11-30,3.0
6,1,41,Performance Review,Bug,Unable to start a new performance review for an employee.,2023-10-23,5.0
7,1,12,Performance Review,Suggestion for improvement,The payroll module does not update employee details correctly.,2024-03-06,3.0
8,1,32,Payroll,Suggestion for improvement,The application crashes when I try to submit payroll.,2023-09-17,2.0
9,1,18,Payroll,Suggestion for improvement,Leave management approval workflow is confusing.,2023-11-18,3.0
10,1,20,Leave Management,Suggestion for improvement,The payroll module does not update employee details correctly.,2023-12-26,3.0
11,1,2,Payroll,Suggestion for improvement,The application crashes when I try to submit payroll.,2024-04-20,1.0
12,1,27,Leave Management,Bug,The interface for submitting leave is not user-friendly.,2023-11-28,4.0
13,1,37,Performance Review,Suggestion for improvement,Suggestion: Provide more detailed error messages.,2023-09-09,5.0
14,1,39,Payroll,Bug,Unable to start a new performance review for an employee.,2024-02-25,1.0
15,1,11,Payroll,Suggestion for improvement,I encountered an error while trying to edit payroll details.,2024-01-07,5.0
16,1,33,Performance Review,Suggestion for improvement,The payroll module does not update employee details correctly.,2023-08-29,2.0
17,1,32,Leave Management,Bug,The system logs me out unexpectedly while working on performance reviews.,2024-04-20,5.0
18,1,47,Leave Management,Bug,The interface for submitting leave is not user-friendly.,2024-05-16,3.0
19,1,15,Leave Management,Suggestion for improvement,Suggestion: Include an option to export payroll data as CSV.,2024-03-16,4.0
20,1,43,Performance Review,Bug,Suggestion: Add notifications for upcoming review deadlines.,2024-04-18,5.0
21,1,16,Performance Review,Suggestion for improvement,Bug: Error message displayed when submitting payroll.,2023-09-19,4.0
22,1,31,Leave Management,Suggestion for improvement,I encountered an error while trying to edit payroll details.,2024-02-16,2.0
23,1,18,Leave Management,Suggestion for improvement,Leave management approval workflow is confusing.,2024-04-16,2.0
24,1,23,Leave Management,Bug,The application crashes when I try to submit payroll.,2024-01-31,1.0
25,1,13,Payroll,Suggestion for improvement,Leave status appeal process needs improvement.,2023-11-16,3.0
26,1,39,Payroll,Bug,The payroll module does not update employee details correctly.,2023-07-06,3.0
27,1,19,Performance Review,Bug,Leave management approval workflow is confusing.,2023-11-02,2.0
28,1,41,Performance Review,Bug,Leave submission page takes too long to load.,2024-01-05,3.0
29,1,45,Payroll,Suggestion for improvement,Bug: Error message displayed when submitting payroll.,2024-04-21,5.0
30,1,36,Leave Management,Suggestion for improvement,Bug: Error message displayed when submitting payroll.,2024-05-11,3.0
31,1,27,Performance Review,Suggestion for improvement,Suggestion: Include an option to export payroll data as CSV.,2023-11-18,1.0
32,1,44,Payroll,Bug,I encountered an error while trying to edit payroll details.,2024-04-04,3.0
33,1,39,Performance Review,Bug,The interface for submitting leave is not user-friendly.,2023-09-01,1.0
34,1,36,Payroll,Suggestion for improvement,Suggestion: Improve the load time for payroll reports.,2024-03-14,1.0
35,1,25,Payroll,Suggestion for improvement,Performance review module should allow adding attachments.,2023-12-13,1.0
36,1,32,Payroll,Bug,I encountered an issue while starting a new performance review.,2023-06-06,1.0
37,1,7,Performance Review,Bug,The interface for submitting leave is not user-friendly.,2024-02-12,3.0
38,1,42,Leave Management,Bug,I encountered an issue while starting a new performance review.,2023-10-21,3.0
39,1,43,Leave Management,Suggestion for improvement,The system logs me out unexpectedly while working on performance reviews.,2024-03-21,2.0
