GoalID,EmployeeID,GoalDescription,StartDate,EndDate,Status,Progress
1,1,Achieve a 20% increase in sales in the next quarter.,2023-06-02,2023-08-26,Completed,86.41
2,2,Reduce the error rate in data processing by 5% by the end of the year.,2023-12-23,2024-01-03,Completed,28.66
3,3,Achieve a 20% increase in sales in the next quarter.,2023-08-28,2023-11-05,On Hold,23.45
4,4,Develop a new training program for new hires within the next quarter.,2024-03-31,2024-04-10,On Hold,87.83
5,5,Develop a new training program for new hires within the next quarter.,2023-11-18,2024-04-27,Completed,12.3
6,6,Complete the new feature development by the end of Q2.,2024-03-16,2024-08-07,On Hold,23.01
7,7,Achieve a 20% increase in sales in the next quarter.,2024-05-13,2024-06-29,In Progress,45.72
8,8,Increase customer satisfaction score by 10% within the next 6 months.,2023-07-19,2023-09-15,In Progress,38.26
9,9,Reduce the error rate in data processing by 5% by the end of the year.,2024-01-06,2024-06-06,On Hold,98.17
10,10,Increase customer satisfaction score by 10% within the next 6 months.,2024-05-17,2024-07-31,On Hold,64.5
11,11,Develop a new training program for new hires within the next quarter.,2024-03-22,2024-09-02,Not Started,37.83
12,12,Increase customer satisfaction score by 10% within the next 6 months.,2024-01-17,2024-06-23,Not Started,1.32
13,13,Develop a new training program for new hires within the next quarter.,2023-07-20,2023-08-16,In Progress,9.09
14,14,Increase customer satisfaction score by 10% within the next 6 months.,2024-01-08,2024-06-18,On Hold,79.03
15,15,Achieve a 20% increase in sales in the next quarter.,2024-03-18,2024-06-17,On Hold,78.65
16,16,Achieve a 20% increase in sales in the next quarter.,2023-07-08,2023-09-18,In Progress,6.11
17,17,Reduce the error rate in data processing by 5% by the end of the year.,2023-12-19,2024-03-14,Not Started,70.29
18,18,Increase customer satisfaction score by 10% within the next 6 months.,2024-02-07,2024-07-06,Completed,15.23
19,19,Reduce the error rate in data processing by 5% by the end of the year.,2024-02-25,2024-03-02,Completed,12.55
20,20,Increase customer satisfaction score by 10% within the next 6 months.,2023-06-04,2023-11-17,Not Started,42.95
21,21,Increase customer satisfaction score by 10% within the next 6 months.,2023-12-01,2023-12-14,Completed,47.07
22,22,Develop a new training program for new hires within the next quarter.,2023-08-26,2023-11-01,On Hold,12.37
23,23,Develop a new training program for new hires within the next quarter.,2023-11-12,2023-12-05,In Progress,12.7
24,24,Achieve a 20% increase in sales in the next quarter.,2023-07-03,2023-08-30,In Progress,69.78
25,25,Reduce the error rate in data processing by 5% by the end of the year.,2023-08-06,2023-10-06,Completed,91.58
26,26,Develop a new training program for new hires within the next quarter.,2023-06-27,2023-08-29,Completed,24.72
27,27,Increase customer satisfaction score by 10% within the next 6 months.,2024-02-07,2024-03-04,Completed,7.14
28,28,Develop a new training program for new hires within the next quarter.,2023-07-15,2023-09-20,On Hold,0.36
29,29,Complete the new feature development by the end of Q2.,2024-02-26,2024-04-05,On Hold,67.97
30,30,Reduce the error rate in data processing by 5% by the end of the year.,2023-09-06,2023-10-06,Not Started,36.49
31,31,Reduce the error rate in data processing by 5% by the end of the year.,2023-08-13,2024-01-03,Completed,85.76
32,32,Complete the new feature development by the end of Q2.,2024-04-09,2024-08-31,Not Started,90.23
33,33,Achieve a 20% increase in sales in the next quarter.,2024-03-27,2024-05-13,Not Started,47.79
34,34,Increase customer satisfaction score by 10% within the next 6 months.,2023-09-04,2023-11-23,In Progress,6.44
35,35,Develop a new training program for new hires within the next quarter.,2023-08-04,2023-10-23,Not Started,26.08
36,36,Reduce the error rate in data processing by 5% by the end of the year.,2024-02-24,2024-05-09,Not Started,16.29
37,37,Achieve a 20% increase in sales in the next quarter.,2023-11-10,2024-01-17,Completed,58.73
38,38,Increase customer satisfaction score by 10% within the next 6 months.,2023-11-15,2024-02-13,In Progress,94.75
39,39,Complete the new feature development by the end of Q2.,2023-08-26,2023-09-07,Not Started,79.81
40,40,Complete the new feature development by the end of Q2.,2024-05-18,2024-08-20,Completed,67.2
41,41,Achieve a 20% increase in sales in the next quarter.,2023-06-26,2023-06-27,Completed,43.68
42,42,Reduce the error rate in data processing by 5% by the end of the year.,2023-10-24,2024-01-11,In Progress,26.29
43,43,Develop a new training program for new hires within the next quarter.,2023-07-24,2023-10-20,Not Started,41.72
44,44,Complete the new feature development by the end of Q2.,2023-11-07,2024-03-01,Completed,87.57
45,45,Increase customer satisfaction score by 10% within the next 6 months.,2024-01-11,2024-05-30,On Hold,2.53
46,46,Complete the new feature development by the end of Q2.,2023-08-12,2024-01-14,In Progress,22.17
47,47,Achieve a 20% increase in sales in the next quarter.,2024-02-16,2024-07-04,On Hold,67.31
48,48,Complete the new feature development by the end of Q2.,2024-05-12,2024-07-06,Completed,76.8
49,49,Achieve a 20% increase in sales in the next quarter.,2024-02-02,2024-07-17,Not Started,22.41
50,50,Develop a new training program for new hires within the next quarter.,2024-01-10,2024-02-20,On Hold,79.96
51,51,Achieve a 20% increase in sales in the next quarter.,2024-01-01,2024-03-12,Not Started,88.1
52,52,Develop a new training program for new hires within the next quarter.,2023-08-11,2023-11-06,Completed,18.57
53,53,Achieve a 20% increase in sales in the next quarter.,2023-07-18,2023-12-16,Not Started,97.7
54,54,Achieve a 20% increase in sales in the next quarter.,2024-03-16,2024-03-25,In Progress,60.24
55,55,Complete the new feature development by the end of Q2.,2023-06-27,2023-08-18,In Progress,7.03
56,56,Reduce the error rate in data processing by 5% by the end of the year.,2023-06-02,2023-07-08,Completed,80.38
57,57,Develop a new training program for new hires within the next quarter.,2023-09-16,2024-01-08,In Progress,81.74
58,58,Develop a new training program for new hires within the next quarter.,2024-03-13,2024-09-04,Completed,59.85
59,59,Complete the new feature development by the end of Q2.,2024-03-18,2024-04-27,Completed,48.33
60,60,Complete the new feature development by the end of Q2.,2023-07-17,2024-01-08,In Progress,25.35
61,61,Increase customer satisfaction score by 10% within the next 6 months.,2024-02-06,2024-05-04,Not Started,37.48
62,62,Develop a new training program for new hires within the next quarter.,2023-09-23,2024-02-21,Not Started,52.4
63,63,Increase customer satisfaction score by 10% within the next 6 months.,2023-07-29,2023-08-07,Completed,57.75
64,64,Develop a new training program for new hires within the next quarter.,2024-05-02,2024-07-24,Completed,30.29
65,65,Increase customer satisfaction score by 10% within the next 6 months.,2024-01-23,2024-04-25,In Progress,53.35
66,66,Reduce the error rate in data processing by 5% by the end of the year.,2024-01-14,2024-06-28,On Hold,62.77
67,67,Develop a new training program for new hires within the next quarter.,2024-02-19,2024-05-02,Completed,41.8
68,68,Increase customer satisfaction score by 10% within the next 6 months.,2024-04-20,2024-06-20,Completed,85.28
69,69,Increase customer satisfaction score by 10% within the next 6 months.,2023-12-05,2024-01-11,In Progress,20.96
70,70,Complete the new feature development by the end of Q2.,2024-01-30,2024-05-12,Not Started,3.27
71,71,Develop a new training program for new hires within the next quarter.,2023-10-21,2023-10-21,On Hold,84.46
72,72,Reduce the error rate in data processing by 5% by the end of the year.,2024-04-14,2024-04-26,On Hold,25.75
73,73,Reduce the error rate in data processing by 5% by the end of the year.,2024-02-25,2024-07-19,Not Started,95.61
74,74,Develop a new training program for new hires within the next quarter.,2024-04-11,2024-08-06,In Progress,46.46
75,75,Increase customer satisfaction score by 10% within the next 6 months.,2023-12-11,2024-04-27,On Hold,4.02
76,76,Increase customer satisfaction score by 10% within the next 6 months.,2023-06-03,2023-08-12,Not Started,83.56
77,77,Achieve a 20% increase in sales in the next quarter.,2024-03-20,2024-05-05,In Progress,72.74
78,78,Complete the new feature development by the end of Q2.,2024-01-30,2024-03-02,On Hold,41.55
79,79,Complete the new feature development by the end of Q2.,2023-08-19,2024-01-16,In Progress,28.4
80,80,Reduce the error rate in data processing by 5% by the end of the year.,2023-10-21,2023-12-25,On Hold,34.02
81,81,Achieve a 20% increase in sales in the next quarter.,2024-04-16,2024-07-31,Not Started,1.29
82,82,Reduce the error rate in data processing by 5% by the end of the year.,2023-06-29,2023-11-17,Not Started,45.46
83,83,Develop a new training program for new hires within the next quarter.,2024-01-14,2024-01-30,On Hold,51.89
84,84,Increase customer satisfaction score by 10% within the next 6 months.,2024-01-27,2024-04-27,Completed,64.13
85,85,Increase customer satisfaction score by 10% within the next 6 months.,2024-03-23,2024-07-18,Completed,59.04
86,86,Complete the new feature development by the end of Q2.,2023-09-28,2024-02-10,Completed,81.95
87,87,Increase customer satisfaction score by 10% within the next 6 months.,2023-07-08,2023-10-17,Not Started,93.38
88,88,Develop a new training program for new hires within the next quarter.,2023-08-17,2024-02-05,Completed,49.78
89,89,Achieve a 20% increase in sales in the next quarter.,2024-01-12,2024-02-05,Completed,32.21
90,90,Achieve a 20% increase in sales in the next quarter.,2023-10-31,2024-04-07,Completed,88.68
91,91,Reduce the error rate in data processing by 5% by the end of the year.,2024-04-16,2024-10-10,In Progress,27.61
92,92,Achieve a 20% increase in sales in the next quarter.,2024-05-14,2024-09-22,In Progress,90.78
93,93,Reduce the error rate in data processing by 5% by the end of the year.,2024-02-28,2024-08-11,Not Started,37.05
94,94,Develop a new training program for new hires within the next quarter.,2023-05-27,2023-06-27,Completed,37.99
95,95,Increase customer satisfaction score by 10% within the next 6 months.,2024-04-28,2024-10-15,Completed,79.42
96,96,Complete the new feature development by the end of Q2.,2024-05-09,2024-06-19,On Hold,7.65
97,97,Complete the new feature development by the end of Q2.,2024-05-05,2024-07-18,Not Started,54.51
98,98,Increase customer satisfaction score by 10% within the next 6 months.,2023-11-09,2024-05-03,On Hold,94.87
99,99,Increase customer satisfaction score by 10% within the next 6 months.,2023-12-08,2024-06-01,On Hold,86.13
100,100,Complete the new feature development by the end of Q2.,2024-03-29,2024-05-24,Not Started,37.49
101,101,Increase customer satisfaction score by 10% within the next 6 months.,2023-07-07,2023-11-20,On Hold,27.8
102,102,Achieve a 20% increase in sales in the next quarter.,2023-09-03,2023-11-30,Not Started,12.66
103,103,Increase customer satisfaction score by 10% within the next 6 months.,2023-07-27,2023-09-08,Completed,84.53
104,104,Achieve a 20% increase in sales in the next quarter.,2023-10-23,2023-12-23,On Hold,21.16
105,105,Increase customer satisfaction score by 10% within the next 6 months.,2023-08-23,2023-10-28,Completed,23.38
106,106,Achieve a 20% increase in sales in the next quarter.,2023-11-12,2024-05-02,Not Started,14.86
107,107,Reduce the error rate in data processing by 5% by the end of the year.,2024-03-28,2024-06-27,On Hold,39.91
108,108,Increase customer satisfaction score by 10% within the next 6 months.,2024-05-01,2024-09-25,In Progress,72.78
109,109,Increase customer satisfaction score by 10% within the next 6 months.,2024-04-16,2024-04-24,Completed,60.7
110,110,Increase customer satisfaction score by 10% within the next 6 months.,2023-12-17,2024-01-11,Completed,84.4
111,111,Reduce the error rate in data processing by 5% by the end of the year.,2024-04-15,2024-06-23,In Progress,18.33
112,112,Increase customer satisfaction score by 10% within the next 6 months.,2023-11-19,2024-02-19,Not Started,67.84
113,113,Reduce the error rate in data processing by 5% by the end of the year.,2023-12-31,2024-04-12,In Progress,3.53
114,114,Develop a new training program for new hires within the next quarter.,2024-03-14,2024-03-30,Completed,32.12
