PayrollID,EmployeeID,PayPeriodStart,PayPeriodEnd,GrossSalary,Deductions,NetSalary,PaymentDate
1,1,2023-06-28,2023-07-28,3527.43,257.64,3269.79,2023-08-02
2,2,2023-07-10,2023-08-09,3261.97,236.11,3025.8599999999997,2023-08-14
3,3,2024-02-01,2024-03-02,3873.33,424.44,3448.89,2024-03-07
4,4,2024-02-20,2024-03-21,3475.56,393.6,3081.96,2024-03-26
5,5,2023-06-05,2023-07-05,4449.49,456.73,3992.7599999999998,2023-07-10
6,6,2024-02-19,2024-03-20,5058.42,412.76,4645.66,2024-03-25
7,7,2023-10-05,2023-11-04,5107.5,434.09,4673.41,2023-11-09
8,8,2023-11-28,2023-12-28,3870.26,488.22,3382.04,2024-01-02
9,9,2023-10-14,2023-11-13,5517.64,446.81,5070.83,2023-11-18
10,10,2023-10-08,2023-11-07,4431.57,362.02,4069.5499999999997,2023-11-12
11,11,2024-04-21,2024-05-21,5261.14,356.79,4904.35,2024-05-26
12,12,2023-06-25,2023-07-25,3121.71,417.1,2704.61,2023-07-30
13,13,2023-09-29,2023-10-29,5398.41,417.57,4980.84,2023-11-03
14,14,2023-09-20,2023-10-20,5188.54,456.02,4732.52,2023-10-25
15,15,2024-04-07,2024-05-07,6636.34,396.94,6239.400000000001,2024-05-12
16,16,2023-11-30,2023-12-30,3143.05,312.21,2830.84,2024-01-04
17,17,2023-07-21,2023-08-20,5591.02,369.61,5221.410000000001,2023-08-25
18,18,2024-02-18,2024-03-19,3638.46,258.48,3379.98,2024-03-24
19,19,2023-10-06,2023-11-05,3896.72,393.49,3503.2299999999996,2023-11-10
20,20,2023-11-15,2023-12-15,6940.42,353.83,6586.59,2023-12-20
21,21,2023-09-17,2023-10-17,6708.13,295.74,6412.39,2023-10-22
22,22,2023-07-02,2023-08-01,5086.08,313.77,4772.3099999999995,2023-08-06
23,23,2023-10-05,2023-11-04,5525.77,337.27,5188.5,2023-11-09
24,24,2023-12-13,2024-01-12,3644.42,232.13,3412.29,2024-01-17
25,25,2024-02-23,2024-03-24,5697.73,451.73,5246.0,2024-03-29
26,26,2024-05-07,2024-06-06,6891.78,323.91,6567.87,2024-06-11
27,27,2023-09-21,2023-10-21,3124.47,254.4,2870.0699999999997,2023-10-26
28,28,2023-09-20,2023-10-20,5705.21,308.92,5396.29,2023-10-25
29,29,2023-06-22,2023-07-22,3646.45,260.72,3385.7299999999996,2023-07-27
30,30,2024-03-24,2024-04-23,6050.45,474.54,5575.91,2024-04-28
31,31,2024-01-05,2024-02-04,3787.95,408.15,3379.7999999999997,2024-02-09
32,32,2023-06-06,2023-07-06,5673.05,278.1,5394.95,2023-07-11
33,33,2023-12-04,2024-01-03,4101.81,336.46,3765.3500000000004,2024-01-08
34,34,2024-04-16,2024-05-16,3585.73,239.22,3346.51,2024-05-21
35,35,2024-04-09,2024-05-09,3789.05,316.44,3472.61,2024-05-14
36,36,2023-10-19,2023-11-18,4960.74,455.9,4504.84,2023-11-23
37,37,2024-02-05,2024-03-06,5510.25,248.56,5261.69,2024-03-11
38,38,2023-11-12,2023-12-12,4578.47,442.06,4136.41,2023-12-17
39,39,2023-07-02,2023-08-01,5609.9,260.66,5349.24,2023-08-06
40,40,2023-10-03,2023-11-02,3903.85,200.7,3703.15,2023-11-07
41,41,2023-05-25,2023-06-24,5596.88,442.57,5154.31,2023-06-29
42,42,2023-11-09,2023-12-09,3957.53,400.42,3557.11,2023-12-14
43,43,2024-05-17,2024-06-16,4411.59,263.62,4147.97,2024-06-21
44,44,2023-08-25,2023-09-24,4102.23,423.6,3678.6299999999997,2023-09-29
45,45,2024-05-07,2024-06-06,3050.46,214.53,2835.93,2024-06-11
46,46,2024-02-06,2024-03-07,4185.16,359.92,3825.24,2024-03-12
47,47,2023-12-06,2024-01-05,6310.08,360.87,5949.21,2024-01-10
48,48,2023-09-30,2023-10-30,4878.75,204.16,4674.59,2023-11-04
49,49,2024-05-11,2024-06-10,6786.12,483.8,6302.32,2024-06-15
50,50,2023-11-20,2023-12-20,4418.98,358.55,4060.4299999999994,2023-12-25
51,51,2023-12-22,2024-01-21,4921.21,245.6,4675.61,2024-01-26
52,52,2024-03-21,2024-04-20,4189.62,386.82,3802.7999999999997,2024-04-25
53,53,2024-05-13,2024-06-12,4333.75,424.53,3909.2200000000003,2024-06-17
