SessionID,EmployeeID,CompanyID,LoginTime,LogoutTime
1,39,1,2024-03-29 01:37:00.474208,2024-03-29 01:49:00.474208
2,17,1,2024-02-27 03:16:03.431663,2024-02-27 03:22:03.431663
3,35,1,2023-10-29 10:44:02.859038,2023-10-29 11:44:02.859038
4,19,1,2023-09-01 14:52:42.785979,2023-09-01 16:16:42.785979
5,12,1,2023-11-30 21:26:52.805515,2023-11-30 23:05:52.805515
6,3,1,2023-10-23 20:28:55.020384,2023-10-23 21:38:55.020384
7,16,1,2024-03-07 09:08:51.965574,2024-03-07 09:51:51.965574
8,50,1,2023-09-17 12:01:53.116441,2023-09-17 13:54:53.116441
9,36,1,2023-11-18 11:43:44.002519,2023-11-18 13:31:44.002519
10,37,1,2023-12-26 16:30:40.031056,2023-12-26 17:36:40.031056
11,37,1,2024-04-20 20:25:24.856666,2024-04-20 21:06:24.856666
12,9,1,2023-11-28 12:53:21.065192,2023-11-28 14:53:21.065192
13,20,1,2023-09-09 19:39:47.058592,2023-09-09 21:28:47.058592
14,20,1,2024-02-26 08:48:27.048657,2024-02-26 10:46:27.048657
15,5,1,2024-01-08 04:53:04.996716,2024-01-08 06:07:04.996716
16,18,1,2023-08-29 14:40:21.537047,2023-08-29 15:59:21.537047
17,50,1,2024-04-21 10:26:47.590881,2024-04-21 11:13:47.590881
18,44,1,2024-05-17 13:30:37.193018,2024-05-17 14:54:37.193018
19,5,1,2024-03-16 19:57:35.412063,2024-03-16 20:07:35.412063
20,14,1,2024-04-18 17:22:02.420840,2024-04-18 18:52:02.420840
21,42,1,2023-09-19 22:42:38.217939,2023-09-20 00:41:38.217939
22,46,1,2024-02-17 01:49:34.068670,2024-02-17 02:39:34.068670
23,32,1,2024-04-17 12:47:54.063996,2024-04-17 13:03:54.063996
24,34,1,2024-01-31 16:12:31.574296,2024-01-31 17:22:31.574296
25,13,1,2023-11-16 21:29:16.455056,2023-11-16 21:42:16.455056
26,18,1,2023-07-07 00:33:01.099475,2023-07-07 01:43:01.099475
27,48,1,2023-11-03 07:29:47.125492,2023-11-03 09:09:47.125492
28,17,1,2024-01-05 12:38:57.446281,2024-01-05 13:52:57.446281
29,6,1,2024-04-22 14:28:32.967396,2024-04-22 15:41:32.967396
30,45,1,2024-05-11 18:36:28.070051,2024-05-11 19:33:28.070051
31,46,1,2023-11-18 15:16:23.140775,2023-11-18 15:35:23.140775
32,8,1,2024-04-05 12:56:50.084912,2024-04-05 13:38:50.084912
33,19,1,2023-09-02 04:24:18.760608,2023-09-02 05:35:18.760608
34,27,1,2024-03-14 23:24:25.891940,2024-03-15 00:49:25.891940
35,3,1,2023-12-14 06:44:57.669185,2023-12-14 07:15:57.669185
36,22,1,2023-06-06 00:33:08.062639,2023-06-06 01:11:08.062639
