AttendanceID,EmployeeID,Date,CheckInTime,CheckOutTime,Status,WorkHours,OvertimeHours
1,19,2024-03-17,16:12:59,06:33:04,Half-day,0.0,0.0
2,37,2023-06-25,14:22:58,12:49:32,Absent,0.0,0.0
3,24,2024-02-03,04:37:36,05:14:51,Half-day,0.0,0.0
4,18,2024-03-23,10:08:50,00:46:10,Present,4.96,0.0
5,48,2024-01-21,04:09:06,04:19:48,Present,6.0,1.29
6,18,2023-08-18,19:54:46,01:19:41,Absent,0.0,0.0
7,22,2023-10-02,18:21:51,06:37:09,Late,0.0,0.0
8,38,2023-07-07,16:32:17,14:16:00,Half-day,0.0,0.0
9,31,2023-10-20,13:19:00,12:11:12,Absent,0.0,0.0
10,3,2024-03-14,11:51:01,14:51:40,Late,0.0,0.0
11,35,2024-02-22,05:57:12,21:36:12,Present,4.28,0.51
12,12,2024-03-18,14:23:01,20:43:25,Half-day,0.0,0.0
13,7,2023-07-05,21:29:22,07:12:19,Absent,0.0,0.0
14,37,2023-07-09,14:44:36,14:47:17,Absent,0.0,0.0
15,12,2023-08-03,03:00:18,13:17:44,Half-day,0.0,0.0
16,39,2024-03-06,10:31:31,09:50:28,Absent,0.0,0.0
17,50,2023-06-20,02:18:10,06:20:22,Present,6.87,0.0
18,5,2023-11-30,10:55:33,19:48:17,Late,0.0,0.0
19,30,2024-04-30,01:41:58,03:26:37,Present,5.05,0.0
20,33,2024-05-13,19:18:50,10:08:03,Half-day,0.0,0.0
21,37,2024-05-10,04:29:22,02:53:18,Late,0.0,0.0
22,18,2023-11-28,02:03:30,13:21:54,Half-day,0.0,0.0
23,31,2024-04-08,11:57:30,15:48:57,Present,7.85,0.75
24,36,2023-07-07,20:34:28,15:21:03,Late,0.0,0.0
25,33,2024-04-05,12:04:59,19:29:17,Present,4.3,0.0
26,32,2023-08-19,02:22:22,08:01:12,Absent,0.0,0.0
27,6,2023-06-29,21:09:50,23:53:35,Present,5.55,0.0
28,41,2023-10-17,22:41:00,17:46:00,Late,0.0,0.0
29,34,2023-11-22,20:34:03,12:04:47,Absent,0.0,0.0
30,7,2024-03-07,09:05:46,16:57:16,Half-day,0.0,0.0
31,96,2024-04-12,23:23:59,19:44:37,Late,0.0,0.0
32,51,2023-06-24,05:41:26,17:35:24,Absent,0.0,0.0
33,97,2024-03-19,03:24:26,06:17:03,Late,0.0,0.0
34,96,2023-12-03,23:39:20,02:06:26,Present,4.13,0.0
35,86,2023-09-13,03:16:38,13:30:25,Half-day,0.0,0.0
36,52,2023-12-21,10:30:17,11:37:50,Late,0.0,0.0
37,82,2023-06-20,08:53:20,15:53:22,Absent,0.0,0.0
38,84,2024-03-05,23:30:57,01:50:18,Late,0.0,0.0
39,62,2024-01-30,12:01:19,16:50:59,Late,0.0,0.0
40,98,2023-12-03,12:00:55,08:27:41,Late,0.0,0.0
41,74,2024-02-23,11:34:09,21:21:42,Absent,0.0,0.0
42,63,2023-06-20,09:01:58,14:00:47,Late,0.0,0.0
43,90,2023-07-17,11:47:16,18:06:09,Late,0.0,0.0
44,64,2023-12-02,03:36:44,19:29:27,Absent,0.0,0.0
45,54,2023-12-31,04:10:02,14:42:41,Late,0.0,0.0
46,94,2024-01-26,17:34:22,08:51:04,Absent,0.0,0.0
