BonusID,EmployeeID,BonusAmount,BonusDate,BonusDescription
1,1,757.54,2024-03-05,Sales target achievement bonus.
2,2,726.88,2024-01-12,Holiday bonus.
3,3,1909.15,2023-09-03,Sales target achievement bonus.
4,4,1164.26,2023-06-15,Sales target achievement bonus.
5,5,1586.63,2024-04-16,Employee of the month bonus.
6,6,1981.75,2023-06-27,Project completion bonus.
7,7,766.97,2024-05-15,Project completion bonus.
8,8,592.85,2023-08-21,Year-end performance bonus.
9,9,561.55,2024-03-12,Project completion bonus.
10,10,640.28,2024-01-16,Holiday bonus.
11,11,579.24,2023-07-11,Employee of the month bonus.
12,12,1422.88,2024-04-08,Employee of the month bonus.
13,13,1199.25,2023-09-21,Holiday bonus.
14,14,1604.24,2023-07-18,Project completion bonus.
15,15,721.2,2023-08-24,Year-end performance bonus.
16,16,1873.06,2023-11-26,Holiday bonus.
17,17,597.36,2024-04-16,Sales target achievement bonus.
18,18,1131.38,2023-11-01,Sales target achievement bonus.
19,19,905.52,2023-09-16,Sales target achievement bonus.
20,20,1445.09,2024-04-19,Holiday bonus.
21,21,1038.49,2023-06-25,Employee of the month bonus.
22,22,1985.06,2023-07-30,Sales target achievement bonus.
23,23,1818.5,2024-01-17,Employee of the month bonus.
24,24,1218.32,2024-03-20,Sales target achievement bonus.
25,25,1659.42,2023-11-30,Project completion bonus.
26,26,1099.72,2024-03-14,Employee of the month bonus.
27,27,1438.33,2023-10-14,Project completion bonus.
28,28,573.91,2023-11-08,Year-end performance bonus.
29,29,1364.75,2024-05-10,Year-end performance bonus.
30,30,970.59,2024-01-06,Employee of the month bonus.
31,31,1510.14,2024-02-27,Year-end performance bonus.
32,32,1581.18,2024-01-04,Sales target achievement bonus.
33,33,1789.83,2023-06-03,Holiday bonus.
34,34,1759.57,2024-01-26,Sales target achievement bonus.
35,35,1773.16,2024-05-22,Sales target achievement bonus.
36,36,1706.61,2024-03-17,Project completion bonus.
37,37,744.36,2024-02-13,Employee of the month bonus.
38,38,1346.09,2023-08-22,Employee of the month bonus.
39,39,865.77,2023-06-18,Employee of the month bonus.
40,40,1089.41,2023-11-02,Holiday bonus.
41,41,1347.85,2024-01-04,Holiday bonus.
42,42,1194.1,2023-08-30,Sales target achievement bonus.
43,43,1710.46,2024-03-14,Sales target achievement bonus.
44,44,755.04,2023-06-06,Project completion bonus.
45,45,628.37,2024-01-27,Sales target achievement bonus.
46,46,1917.55,2023-12-18,Employee of the month bonus.
47,47,1614.24,2023-07-30,Project completion bonus.
48,48,563.21,2024-02-03,Project completion bonus.
49,49,1397.06,2024-03-12,Project completion bonus.
50,50,785.05,2023-09-06,Employee of the month bonus.
51,51,1202.1,2023-08-12,Holiday bonus.
52,52,548.63,2023-10-29,Sales target achievement bonus.
53,53,1501.65,2023-08-27,Project completion bonus.
54,54,858.26,2024-04-15,Employee of the month bonus.
55,55,595.69,2023-09-17,Year-end performance bonus.
56,56,1694.25,2023-08-12,Year-end performance bonus.
57,57,1264.5,2024-02-09,Project completion bonus.
58,58,1925.04,2024-02-16,Sales target achievement bonus.
59,59,1036.77,2023-09-28,Holiday bonus.
60,60,1839.26,2024-03-30,Year-end performance bonus.
61,61,623.83,2024-05-18,Sales target achievement bonus.
62,62,1345.89,2023-06-06,Sales target achievement bonus.
63,63,1293.8,2024-02-25,Sales target achievement bonus.
64,64,1064.41,2023-05-28,Holiday bonus.
65,65,1786.08,2024-01-25,Project completion bonus.
66,66,1244.32,2023-10-11,Employee of the month bonus.
67,67,1808.84,2024-03-05,Project completion bonus.
68,68,1614.61,2023-10-25,Employee of the month bonus.
69,69,701.31,2023-07-27,Employee of the month bonus.
70,70,1132.05,2023-09-03,Year-end performance bonus.
71,71,1213.36,2024-01-01,Employee of the month bonus.
72,72,569.8,2024-04-04,Project completion bonus.
73,73,668.82,2023-07-25,Employee of the month bonus.
74,74,1971.37,2023-11-07,Year-end performance bonus.
75,75,1480.87,2023-10-08,Holiday bonus.
76,76,1724.12,2023-09-09,Sales target achievement bonus.
77,77,818.51,2024-05-10,Holiday bonus.
78,78,1258.94,2023-10-11,Holiday bonus.
79,79,1188.28,2023-05-30,Sales target achievement bonus.
80,80,1979.69,2024-05-05,Employee of the month bonus.
81,81,1463.96,2024-05-13,Employee of the month bonus.
82,82,1720.3,2024-05-18,Sales target achievement bonus.
83,83,832.09,2023-12-07,Project completion bonus.
84,84,844.24,2023-10-14,Project completion bonus.
85,85,636.68,2024-02-03,Sales target achievement bonus.
86,86,752.12,2023-09-08,Employee of the month bonus.
87,87,1035.89,2024-04-13,Sales target achievement bonus.
88,88,578.51,2023-07-03,Year-end performance bonus.
89,89,1163.52,2024-03-24,Holiday bonus.
90,90,1343.73,2023-07-08,Project completion bonus.
91,91,1334.55,2024-02-24,Sales target achievement bonus.
92,92,636.23,2023-09-22,Employee of the month bonus.
93,93,1442.93,2023-12-24,Project completion bonus.
94,94,1520.83,2024-05-17,Employee of the month bonus.
95,95,1169.81,2024-05-07,Project completion bonus.
96,96,1015.58,2023-12-14,Sales target achievement bonus.
97,97,1374.49,2023-12-10,Project completion bonus.
98,98,551.79,2024-02-20,Sales target achievement bonus.
99,99,1110.19,2024-02-18,Employee of the month bonus.
100,100,1545.35,2023-08-24,Sales target achievement bonus.
101,101,1796.13,2023-07-01,Sales target achievement bonus.
102,102,1326.13,2023-09-26,Year-end performance bonus.
103,103,979.44,2024-05-04,Employee of the month bonus.
104,104,1512.24,2024-03-27,Year-end performance bonus.
105,105,1197.2,2023-06-12,Year-end performance bonus.
106,106,1006.26,2024-04-14,Employee of the month bonus.
107,107,1850.35,2024-04-16,Sales target achievement bonus.
108,108,909.13,2023-10-31,Sales target achievement bonus.
109,109,1128.79,2023-05-30,Sales target achievement bonus.
110,110,1030.79,2023-11-16,Year-end performance bonus.
111,111,1390.87,2023-06-27,Holiday bonus.
112,112,675.14,2024-05-11,Holiday bonus.
113,113,687.03,2023-05-24,Project completion bonus.
114,114,630.55,2023-11-09,Sales target achievement bonus.
115,115,1983.48,2024-03-17,Holiday bonus.
116,116,1963.84,2024-02-29,Employee of the month bonus.
117,117,1814.83,2024-03-24,Employee of the month bonus.
118,118,1769.9,2023-09-21,Sales target achievement bonus.
119,119,919.8,2023-05-26,Project completion bonus.
120,120,1733.23,2024-05-12,Holiday bonus.
121,121,535.24,2023-09-30,Holiday bonus.
122,122,845.39,2023-09-17,Year-end performance bonus.
123,123,1236.87,2024-01-19,Sales target achievement bonus.
124,124,1578.71,2024-01-25,Employee of the month bonus.
125,125,1374.72,2024-05-16,Holiday bonus.
126,126,900.42,2023-08-07,Employee of the month bonus.
127,127,983.89,2024-01-07,Project completion bonus.
128,128,1568.08,2023-09-16,Project completion bonus.
129,129,1758.64,2023-11-20,Holiday bonus.
130,130,1730.34,2024-01-09,Holiday bonus.
131,131,693.28,2024-05-12,Employee of the month bonus.
132,132,1107.22,2024-01-23,Project completion bonus.
133,133,580.76,2023-07-15,Project completion bonus.
134,134,1415.31,2023-11-22,Project completion bonus.
135,135,1388.95,2023-08-31,Project completion bonus.
136,136,911.22,2024-03-15,Sales target achievement bonus.
137,137,1342.86,2024-04-20,Sales target achievement bonus.
138,138,854.11,2023-08-12,Holiday bonus.
139,139,1669.3,2024-03-13,Holiday bonus.
140,140,1173.98,2023-11-18,Sales target achievement bonus.
141,141,889.54,2024-02-01,Employee of the month bonus.
142,142,1411.19,2024-04-08,Holiday bonus.
143,143,1265.3,2024-04-21,Project completion bonus.
144,144,1668.1,2023-12-04,Project completion bonus.
145,145,1005.75,2023-12-13,Year-end performance bonus.
146,146,1660.79,2024-01-16,Year-end performance bonus.
147,147,1108.64,2023-06-25,Year-end performance bonus.
148,148,742.41,2024-04-08,Employee of the month bonus.
149,149,1571.2,2024-04-16,Employee of the month bonus.
150,150,1721.08,2023-07-05,Holiday bonus.
151,151,1813.36,2023-08-22,Employee of the month bonus.
152,152,1962.01,2024-04-01,Year-end performance bonus.
153,153,1762.73,2024-02-27,Project completion bonus.
154,154,842.21,2023-11-07,Employee of the month bonus.
155,155,959.35,2024-01-14,Project completion bonus.
156,156,1816.51,2023-05-29,Holiday bonus.
157,157,1127.37,2023-06-21,Year-end performance bonus.
158,158,682.52,2023-10-15,Holiday bonus.
159,159,1059.51,2024-02-16,Year-end performance bonus.
160,160,1963.25,2023-10-29,Employee of the month bonus.
161,161,714.41,2024-05-15,Project completion bonus.
162,162,1462.12,2023-08-31,Holiday bonus.
163,163,1153.21,2023-08-11,Project completion bonus.
164,164,706.11,2024-02-12,Holiday bonus.
165,165,1077.74,2024-02-04,Holiday bonus.
166,166,617.31,2024-05-18,Sales target achievement bonus.
167,167,1994.87,2024-02-03,Project completion bonus.
168,168,1605.37,2023-10-10,Employee of the month bonus.
169,169,574.78,2023-07-30,Sales target achievement bonus.
170,170,729.41,2023-11-08,Employee of the month bonus.
171,171,1618.43,2024-05-11,Project completion bonus.
172,172,887.28,2024-02-08,Project completion bonus.
173,173,1985.61,2024-05-15,Project completion bonus.
174,174,1401.53,2023-06-22,Employee of the month bonus.
175,175,1068.48,2024-04-03,Project completion bonus.
