DeductionID,CompanyID,DeductionName,DeductionAmount,DeductionDescription
1,1,Tax,137.95,Monthly tax deduction based on salary.
2,1,Health Insurance,245.25,Health insurance premium deduction.
3,1,Retirement Contribution,201.81,Retirement fund contribution.
4,1,Union Dues,222.0,Union membership dues.
5,1,Miscellaneous,68.12,Miscellaneous deductions.
6,2,Tax,76.52,Monthly tax deduction based on salary.
7,2,Health Insurance,120.78,Health insurance premium deduction.
8,2,Retirement Contribution,158.05,Retirement fund contribution.
9,2,Union Dues,175.8,Union membership dues.
10,2,Miscellaneous,193.66,Miscellaneous deductions.
11,3,Tax,68.99,Monthly tax deduction based on salary.
12,3,Health Insurance,126.98,Health insurance premium deduction.
13,3,Retirement Contribution,164.01,Retirement fund contribution.
14,3,Union Dues,75.85,Union membership dues.
15,3,Miscellaneous,64.21,Miscellaneous deductions.
16,4,Tax,249.65,Monthly tax deduction based on salary.
17,4,Health Insurance,118.14,Health insurance premium deduction.
18,4,Retirement Contribution,165.44,Retirement fund contribution.
19,4,Union Dues,133.85,Union membership dues.
20,4,Miscellaneous,234.19,Miscellaneous deductions.
21,5,Tax,68.12,Monthly tax deduction based on salary.
22,5,Health Insurance,88.98,Health insurance premium deduction.
23,5,Retirement Contribution,143.97,Retirement fund contribution.
24,5,Union Dues,171.38,Union membership dues.
25,5,Miscellaneous,243.29,Miscellaneous deductions.
26,6,Tax,108.22,Monthly tax deduction based on salary.
27,6,Health Insurance,98.6,Health insurance premium deduction.
28,6,Retirement Contribution,71.16,Retirement fund contribution.
29,6,Union Dues,165.68,Union membership dues.
30,6,Miscellaneous,241.38,Miscellaneous deductions.
31,7,Tax,215.09,Monthly tax deduction based on salary.
32,7,Health Insurance,159.58,Health insurance premium deduction.
33,7,Retirement Contribution,61.48,Retirement fund contribution.
34,7,Union Dues,130.74,Union membership dues.
35,7,Miscellaneous,277.15,Miscellaneous deductions.
36,8,Tax,88.9,Monthly tax deduction based on salary.
37,8,Health Insurance,288.44,Health insurance premium deduction.
38,8,Retirement Contribution,217.2,Retirement fund contribution.
39,8,Union Dues,181.92,Union membership dues.
40,8,Miscellaneous,299.11,Miscellaneous deductions.
41,9,Tax,252.8,Monthly tax deduction based on salary.
42,9,Health Insurance,164.51,Health insurance premium deduction.
43,9,Retirement Contribution,185.03,Retirement fund contribution.
44,9,Union Dues,168.44,Union membership dues.
45,9,Miscellaneous,262.2,Miscellaneous deductions.
46,10,Tax,203.48,Monthly tax deduction based on salary.
47,10,Health Insurance,123.64,Health insurance premium deduction.
48,10,Retirement Contribution,215.9,Retirement fund contribution.
49,10,Union Dues,296.58,Union membership dues.
50,10,Miscellaneous,53.43,Miscellaneous deductions.
51,11,Tax,279.22,Monthly tax deduction based on salary.
52,11,Health Insurance,98.01,Health insurance premium deduction.
53,11,Retirement Contribution,283.91,Retirement fund contribution.
54,11,Union Dues,294.92,Union membership dues.
55,11,Miscellaneous,256.9,Miscellaneous deductions.
56,12,Tax,54.88,Monthly tax deduction based on salary.
57,12,Health Insurance,285.37,Health insurance premium deduction.
58,12,Retirement Contribution,266.17,Retirement fund contribution.
59,12,Union Dues,173.54,Union membership dues.
60,12,Miscellaneous,95.61,Miscellaneous deductions.
61,13,Tax,248.48,Monthly tax deduction based on salary.
62,13,Health Insurance,257.42,Health insurance premium deduction.
63,13,Retirement Contribution,118.26,Retirement fund contribution.
64,13,Union Dues,152.74,Union membership dues.
65,13,Miscellaneous,155.56,Miscellaneous deductions.
66,14,Tax,214.23,Monthly tax deduction based on salary.
67,14,Health Insurance,163.86,Health insurance premium deduction.
68,14,Retirement Contribution,247.56,Retirement fund contribution.
69,14,Union Dues,234.5,Union membership dues.
70,14,Miscellaneous,133.82,Miscellaneous deductions.
71,15,Tax,253.43,Monthly tax deduction based on salary.
72,15,Health Insurance,92.6,Health insurance premium deduction.
73,15,Retirement Contribution,287.78,Retirement fund contribution.
74,15,Union Dues,255.75,Union membership dues.
75,15,Miscellaneous,177.87,Miscellaneous deductions.
76,16,Tax,236.57,Monthly tax deduction based on salary.
77,16,Health Insurance,81.3,Health insurance premium deduction.
78,16,Retirement Contribution,173.52,Retirement fund contribution.
79,16,Union Dues,60.03,Union membership dues.
80,16,Miscellaneous,118.48,Miscellaneous deductions.
81,17,Tax,190.28,Monthly tax deduction based on salary.
82,17,Health Insurance,157.77,Health insurance premium deduction.
83,17,Retirement Contribution,234.4,Retirement fund contribution.
84,17,Union Dues,175.43,Union membership dues.
85,17,Miscellaneous,171.49,Miscellaneous deductions.
86,18,Tax,75.78,Monthly tax deduction based on salary.
87,18,Health Insurance,233.04,Health insurance premium deduction.
88,18,Retirement Contribution,200.26,Retirement fund contribution.
89,18,Union Dues,255.68,Union membership dues.
90,18,Miscellaneous,187.94,Miscellaneous deductions.
91,19,Tax,216.78,Monthly tax deduction based on salary.
92,19,Health Insurance,291.91,Health insurance premium deduction.
93,19,Retirement Contribution,189.51,Retirement fund contribution.
94,19,Union Dues,270.41,Union membership dues.
95,19,Miscellaneous,113.59,Miscellaneous deductions.
96,20,Tax,121.81,Monthly tax deduction based on salary.
97,20,Health Insurance,277.8,Health insurance premium deduction.
98,20,Retirement Contribution,107.18,Retirement fund contribution.
